dataset,dataset_label,row_metric,col_metric,correlation
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,pll_score,wer,0.8762647512473437
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,pll_score,cer,0.9147492621874814
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,pll_score,levenshtein,0.9130797770763756
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,wer,pll_score,0.8762647512473437
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,wer,wer,1.0
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,wer,cer,0.8840299367704479
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,wer,levenshtein,0.8789234572111333
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,cer,pll_score,0.9147492621874814
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,cer,wer,0.8840299367704479
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,cer,cer,1.0
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,cer,levenshtein,0.9983879652461665
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,levenshtein,pll_score,0.9130797770763756
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,levenshtein,wer,0.8789234572111333
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,levenshtein,cer,0.9983879652461665
seferhaikarimbnf740experimen,Sefer Haikarim BNF 740 experiment,levenshtein,levenshtein,1.0
vatebr34,Vat Ebr 34,pll_score,pll_score,1.0
vatebr34,Vat Ebr 34,pll_score,wer,-0.09225515231344725
vatebr34,Vat Ebr 34,pll_score,cer,0.7328207782908673
vatebr34,Vat Ebr 34,pll_score,levenshtein,0.7422098534465923
vatebr34,Vat Ebr 34,wer,pll_score,-0.09225515231344725
vatebr34,Vat Ebr 34,wer,wer,1.0
vatebr34,Vat Ebr 34,wer,cer,0.12396146070361162
vatebr34,Vat Ebr 34,wer,levenshtein,0.04153739832157016
vatebr34,Vat Ebr 34,cer,pll_score,0.7328207782908673
vatebr34,Vat Ebr 34,cer,wer,0.12396146070361162
vatebr34,Vat Ebr 34,cer,cer,1.0
vatebr34,Vat Ebr 34,cer,levenshtein,0.7337443174596314
vatebr34,Vat Ebr 34,levenshtein,pll_score,0.7422098534465923
vatebr34,Vat Ebr 34,levenshtein,wer,0.04153739832157016
vatebr34,Vat Ebr 34,levenshtein,cer,0.7337443174596314
vatebr34,Vat Ebr 34,levenshtein,levenshtein,1.0
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,pll_score,pll_score,1.0
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,pll_score,wer,0.6471075499453295
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,pll_score,cer,0.8895993586722607
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,pll_score,levenshtein,0.89069120416425
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,wer,pll_score,0.6471075499453295
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,wer,wer,1.0
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,wer,cer,0.6592359335319012
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,wer,levenshtein,0.6764523432616126
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,cer,pll_score,0.8895993586722607
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,cer,wer,0.6592359335319012
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,cer,cer,1.0
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,cer,levenshtein,0.9525300040482891
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,levenshtein,pll_score,0.89069120416425
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,levenshtein,wer,0.6764523432616126
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,levenshtein,cer,0.9525300040482891
vatican34midrashtanchu,Vatican 34 Midrash Tanchuma,levenshtein,levenshtein,1.0
vatican44amitaimidrashtanchu,Vatican 44 Amitai Midrash Tanchuma,pll_score,pll_score,1.0
