variant,variant_description,dataset,dataset_label,pages,rows,row_metric,col_metric,pearson_r
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,levenshtein,wer,0.9393305032868502
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,levenshtein,cer,0.9999623908751966
base_valid_all_pages,Base-valid rows before removing diagnostic pages,matteozzmsoxfordhuntington2,Matteo Zz MS Oxford Huntington 2,1,7,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,pll_score,wer,-0.1880677431099997
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,pll_score,cer,0.45686897154910333
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,pll_score,levenshtein,0.763620451976076
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,wer,pll_score,-0.1880677431099997
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,wer,cer,0.4699089537980391
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,wer,levenshtein,0.18789303679706146
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,cer,pll_score,0.45686897154910333
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,cer,wer,0.4699089537980391
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,cer,levenshtein,0.8930382954971091
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,levenshtein,pll_score,0.763620451976076
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,levenshtein,wer,0.18789303679706146
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,levenshtein,cer,0.8930382954971091
base_valid_all_pages,Base-valid rows before removing diagnostic pages,midrashhagadoldvarim,Midrash Hagadol Dvarim,1,7,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,pll_score,wer,0.4789550920736236
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,pll_score,cer,0.43846136306022365
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,pll_score,levenshtein,0.5414603092097248
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,wer,pll_score,0.4789550920736236
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,wer,cer,0.9030107911048156
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,wer,levenshtein,0.8943875450748795
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,cer,pll_score,0.43846136306022365
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,cer,wer,0.9030107911048156
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,cer,levenshtein,0.9868738006137647
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,levenshtein,pll_score,0.5414603092097248
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,levenshtein,wer,0.8943875450748795
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,levenshtein,cer,0.9868738006137647
base_valid_all_pages,Base-valid rows before removing diagnostic pages,mshuntington115,Bodleian MS Huntington 115,9,59,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,pll_score,wer,0.40336901443905393
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,pll_score,cer,0.26660851931890595
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,pll_score,levenshtein,0.5564102814294815
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,wer,pll_score,0.40336901443905393
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,wer,cer,0.9394975726500242
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,wer,levenshtein,0.906132090134519
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,cer,pll_score,0.26660851931890595
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,cer,wer,0.9394975726500242
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,cer,cer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,cer,levenshtein,0.8975130640441736
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,levenshtein,pll_score,0.5564102814294815
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,levenshtein,wer,0.906132090134519
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,levenshtein,cer,0.8975130640441736
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munich229amitaitanchuma2,Munich 229 Amitai Tanchuma 2,2,14,levenshtein,levenshtein,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,pll_score,pll_score,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,pll_score,wer,0.4475546859223599
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,pll_score,cer,0.6500503267669424
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,pll_score,levenshtein,0.7435784141642835
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,wer,pll_score,0.4475546859223599
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,wer,wer,1.0
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,wer,cer,0.7646899662322987
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,wer,levenshtein,0.662357603333227
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,cer,pll_score,0.6500503267669424
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,cer,wer,0.7646899662322987
base_valid_all_pages,Base-valid rows before removing diagnostic pages,munichstaatsbibliothektest2,Munich Staatsbibliothek test 2,2,12,cer,cer,1.0
