dataset,dataset_label,image,image_stem,model,model_label,line_index,page_pll_score,pll_score,wer,cer,levenshtein,gt_chars,pred_chars,char_ratio,line_weighted_wc,line_mean_wc,page_weighted_wc,page_len_ratio,page_line_ratio,gt_lines,pred_lines,score_candidate,pll_per_pred_char,pll_per_gt_char,pll_per_char_mean,base_valid,line_quality,line_high_confidence,selected_run
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,16,5143.6186387352645,,0.5625,0.2307692307692307,15.0,65,59,0.9076923076923076,0.9486583333333334,0.9495230769230768,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,17,5143.6186387352645,,0.9333333333333332,0.4,26.0,65,58,0.8923076923076924,0.92591875,0.9153333333333332,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,18,5143.6186387352645,,0.8571428571428571,0.3125,20.0,64,56,0.875,0.9177851063829788,0.91339,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,19,5143.6186387352645,,0.6428571428571429,0.2222222222222222,14.0,63,59,0.9365079365079364,0.9638122448979592,0.9579454545454544,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,20,5143.6186387352645,,0.7692307692307693,0.3934426229508196,24.0,61,55,0.9016393442622952,0.9545369565217392,0.96518,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,21,5143.6186387352645,,0.7333333333333333,0.2419354838709677,16.0,63,60,0.9523809523809524,0.976724,0.974876923076923,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,22,5143.6186387352645,,0.4166666666666667,0.1129032258064516,7.0,62,62,1.0,0.977838,0.9809230769230768,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,23,5143.6186387352645,,1.0,0.3846153846153846,25.0,65,52,0.8,0.9665227272727271,0.9756666666666666,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,24,5143.6186387352645,,0.5,0.2,13.0,65,62,0.953846153846154,0.95307,0.9571769230769231,0.9521334220062558,0.9018801410105758,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,biblia9,biblia9,25,5143.6186387352645,,1.0,0.5373134328358209,36.0,67,46,0.6865671641791045,0.926309756097561,0.930425,0.9521334220062558,0.9018801410105758,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,italian_7,italian 7,0,3915.779604180134,,0.4,0.0952380952380952,8.0,65,58,0.8923076923076924,0.917427659574468,0.919475,0.9560662732728454,0.9794359576968272,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,italian_7,italian 7,1,3915.779604180134,,0.6428571428571429,0.1641791044776119,11.0,67,67,1.0,0.9359611111111112,0.9373307692307692,0.9560662732728454,0.9794359576968272,1.0,26,26,False,,,,False,False,False,full_run_20260617_selected_handwritings
bnf150amitaitanchuma2,BNF 150 Amitai Tanchuma 2,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001.tif,Midrach_rabba_Nombres_(hébreu)__btv1b105399567_Page_134_Image_0001,italian_7,italian 7,2,3915.779604180134,,0.3333333333333333,0.0923076923076923,6.0,65,66,1.015384615384615,0.9604692307692309,0.96398,0.9560662732728454,0.9794359576968272,1.0,26,26,True,,,,False,False,False,full_run_20260617_selected_handwritings
